#{"t_start": 1747577978.1583893, "env_id": "KukaBulletEnv-v0"}
r,l,t,success
-1242.115073,872,716.195135,False
-972.118984,889,718.060956,False
-1073.810107,865,719.168201,False
-1880.246754,1000,720.811862,False
-1454.394587,893,721.850891,False
-1098.898262,846,723.798967,False
-1030.56127,859,725.028204,False
-1319.083985,858,726.875257,False
-1290.840622,900,728.051313,False
-1525.009125,904,729.185451,False
-1102.824834,1000,730.7381,False
-703.339204,829,731.834011,False
-894.425698,827,733.843079,False
-1781.146918,1000,734.59622,False
-1103.370832,1000,736.235752,False
-1366.021942,1000,736.997439,False
-594.885821,928,738.981585,False
-750.951268,889,740.105577,False
-1127.728435,868,741.240872,False
-1004.107977,846,743.039442,False
-617.400427,1000,743.78041,False
-958.029529,896,745.749423,False
-1252.869073,1000,746.515941,False
-1112.492261,867,748.679199,False
-951.664105,1000,749.495756,False
-924.744644,857,751.520632,False
-678.25824,840,752.65293,False
-835.202812,815,753.680925,False
-589.25457,912,755.767687,False
-594.763846,870,756.969298,False
-884.065393,984,759.00137,False
-948.221238,862,760.09135,False
-1165.804295,959,762.167762,False
-746.257678,912,763.381148,False
-675.875063,919,765.669973,False
-771.731059,832,766.649286,False
-941.887066,972,767.86577,False
-1337.260963,1000,769.537825,False
-1494.266346,1000,770.307408,False
-589.094967,847,772.34713,False
-952.927537,861,773.454878,False
-739.331725,841,775.500728,False
-531.906402,820,776.629044,False
-765.380445,866,778.596707,False
-970.594656,905,779.736136,False
-1016.199391,785,780.646526,False
-769.200432,841,782.471019,False
-1092.293984,980,783.685207,False
-822.788809,967,785.586738,False
-641.491971,839,786.70403,False
-869.438544,882,788.71143,False
-768.258827,846,789.819763,False
-917.167447,956,790.961454,False
-952.250203,953,792.89844,False
-797.393075,979,794.042678,False
-948.641618,884,796.056286,False
-853.136791,967,797.221261,False
-964.437658,947,799.265952,False
-1093.759444,874,800.344408,False
-1229.450101,894,802.343525,False
-686.210592,888,803.432655,False
-1010.37471,992,805.517967,False
-1093.89854,881,806.649136,False
-946.782896,882,807.788224,False
-865.966783,870,809.74143,False
-1022.564546,909,810.818816,False
-747.210599,905,812.745205,False
-831.113531,859,813.79003,False
-754.648097,966,815.936408,False
-1382.133895,1000,816.679621,False
-1267.936363,1000,818.348684,False
-524.312168,888,819.458725,False
-1193.554223,1000,820.22098,False
-639.104952,903,822.170484,False
-1015.337175,889,823.311803,False
-1163.569186,952,825.277709,False
-1080.437419,890,826.422268,False
-730.455907,900,828.444924,False
-644.068512,898,829.515634,False
-659.319392,820,831.339538,False
-950.112313,1000,832.066701,False
-993.919367,1000,832.803237,False
-1293.822267,1000,834.405678,False
-693.717813,959,835.545361,False
-667.985183,860,837.630134,False
-1082.20823,1000,838.363073,False
-1078.027988,874,840.563138,False
-652.979372,936,841.756389,False
-563.754064,888,843.77373,False
-770.658707,955,844.97781,False
-518.438562,858,846.916208,False
-944.780566,838,848.024341,False
-915.98214,907,849.157781,False
-709.595078,845,851.136962,False
-766.1293,859,852.2752,False
-1204.322667,1000,853.875402,False
-568.243116,847,854.995835,False
-723.869309,863,857.032306,False
-620.676809,829,858.123413,False
-635.697446,856,859.258895,False
-924.348622,890,861.532745,False
-920.162886,857,862.657149,False
-1268.178954,898,864.6746,False
-1149.672483,901,865.792777,False
-1053.720002,904,867.82952,False
-795.804883,853,868.938698,False
-973.231444,842,870.064228,False
-696.870884,894,872.117694,False
-973.607467,959,873.246178,False
-1159.460612,871,875.12147,False
-732.049548,840,876.254761,False
-775.572716,838,878.158525,False
-896.852416,896,879.271934,False
-894.752486,894,880.374434,False
-893.302078,852,882.236567,False
-752.887208,933,883.391147,False
-936.578895,862,885.322631,False
-845.30068,1000,886.041983,False
-976.840648,869,887.953487,False
-772.887381,841,889.05988,False
-650.089852,876,890.189094,False
-864.378401,822,892.156362,False
-1419.25525,1000,892.873833,False
-709.237164,854,894.747041,False
-737.373372,855,895.808853,False
-612.299956,824,897.751208,False
-1525.671218,1000,898.498205,False
-751.814549,859,899.578418,False
-1072.358556,873,901.499107,False
-569.238268,881,902.587773,False
-706.752795,813,904.438156,False
-838.707842,880,905.558849,False
-661.001564,877,907.478365,False
-667.038895,841,908.587281,False
-704.132943,884,909.713662,False
-582.008814,829,911.549068,False
-562.236977,833,912.622356,False
-767.581077,852,914.544099,False
-635.601622,824,915.5987,False
-553.855267,843,916.681941,False
-679.63935,817,918.748806,False
-718.133421,867,919.799128,False
-596.96215,863,921.728984,False
-687.02995,827,922.918679,False
-762.386448,854,924.790627,False
-747.101148,817,925.859225,False
-529.176979,848,926.952844,False
-1021.120584,877,928.845738,False
-1028.302356,859,929.928483,False
-1045.851042,862,931.876992,False
-1226.672274,878,932.970288,False
-949.159799,895,934.065843,False
-977.071594,899,936.107549,False
-919.303623,891,937.230882,False
-1195.185331,901,939.281507,False
-1126.063396,884,940.381058,False
-1134.52704,888,942.383141,False
-757.678642,852,943.594331,False
-704.099296,887,945.573035,False
-838.954808,856,946.667467,False
-850.758932,858,947.789361,False
-947.684416,853,949.737895,False
-995.065945,867,950.833277,False
-488.738178,833,952.755447,False
-607.632699,815,953.805635,False
-613.230221,860,954.840847,False
-830.382934,840,956.81035,False
-1113.510379,1000,957.536666,False
-940.613668,982,959.652927,False
-601.7345,913,960.768948,False
-783.948446,893,962.637081,False
-610.243345,874,963.690538,False
-782.747851,1000,965.26053,False
-717.401842,866,966.332701,False
-545.835344,858,967.408536,False
-538.409195,897,969.434517,False
-893.994821,895,970.503667,False
-442.314799,851,972.404251,False
-775.222691,1000,973.129902,False
-510.787563,817,975.008287,False
-639.476785,842,976.052848,False
-567.900364,849,977.107223,False
-492.348284,817,978.98134,False
-916.743546,889,980.07052,False
-695.888839,871,981.956912,False
-1021.116237,1000,982.69207,False
-905.183289,1000,984.30925,False
-876.316969,873,985.358299,False
-944.556454,860,987.34305,False
-685.141849,866,988.414677,False
-856.080495,906,989.519866,False
-595.221706,875,991.612071,False
-845.65775,824,992.639204,False
-1165.765048,957,994.604042,False
-517.950312,853,995.639006,False
-590.875284,885,997.594092,False
-943.063494,856,998.666759,False
-1228.055442,1000,999.400016,False
-545.689984,874,1001.229765,False
-1443.101532,1000,1001.968989,False
-1175.368587,869,1003.869726,False
-828.556483,890,1004.958549,False
-950.410268,888,1006.882682,False
-1510.106968,1000,1007.608551,False
-1165.084284,1000,1009.1996,False
-909.283831,865,1010.322401,False
-760.678053,818,1011.371373,False
-804.646394,874,1013.455098,False
-1405.141452,883,1014.577161,False
-1121.952855,856,1016.691532,False
-1028.962297,858,1017.78899,False
-709.986689,833,1019.720957,False
-832.007582,842,1020.815839,False
-1287.907988,1000,1021.562388,False
-1314.385936,886,1023.564511,False
-1019.616778,897,1024.68514,False
-930.225273,849,1026.533569,False
-578.801512,841,1027.579816,False
-764.596514,894,1029.51488,False
-1330.001938,897,1030.636326,False
-959.232152,858,1031.744154,False
-506.715261,847,1033.613607,False
-1233.264493,893,1034.665449,False
-1356.109115,841,1036.45823,False
-1049.411048,1000,1037.207509,False
-1177.435712,982,1039.226734,False
-1070.623089,865,1040.315166,False
-969.155448,889,1042.225671,False
-730.420931,897,1043.277025,False
-636.229434,872,1044.332268,False
-908.094731,888,1046.177196,False
-1791.446604,1000,1046.908482,False
-1098.146034,866,1048.873748,False
-1469.875359,927,1049.986875,False
-1599.795388,1000,1051.601132,False
-973.94333,922,1052.664046,False
-858.592916,892,1054.664395,False
-1252.047259,909,1055.714541,False
-880.704002,891,1056.833909,False
-717.081473,891,1058.732807,False
-676.217477,860,1059.887346,False
-619.70072,1000,1061.471433,False
-1452.541328,1000,1062.197679,False
-1087.766103,1000,1063.821159,False
-1164.155747,1000,1064.531951,False
-1082.944709,1000,1066.141488,False
-593.67063,888,1067.273456,False
-595.242977,880,1069.337851,False
-724.587378,888,1070.47446,False
-672.448801,891,1071.618811,False
-886.123899,1000,1073.201053,False
-723.451917,956,1074.309081,False
-1210.915964,899,1076.289738,False
-884.118399,919,1077.33793,False
-684.700209,823,1079.202625,False
-893.229519,865,1080.246828,False
-752.760619,913,1082.134562,False
-778.845008,858,1083.189091,False
-969.505761,866,1084.330949,False
-985.153057,971,1086.286598,False
-463.130576,899,1087.408257,False
-1201.300445,1000,1088.920689,False
-790.850815,897,1090.084359,False
-572.234881,830,1092.035994,False
-1163.863311,849,1093.045192,False
-886.839625,859,1094.995816,False
-558.834014,884,1096.107615,False
-921.446647,1000,1096.856646,False
-747.063166,880,1098.782786,False
